央视频道,#genre#
更新时间(2509031358),http://123.52.16.128:85/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-1,http://aiony.top:35455/yhyx/IP-CCTV-13HD.m3u8
CCTV-1,http://aiony.top:35455/yhyx/IP-CCTV-11HD.m3u8
CCTV-1,http://123.52.16.128:85/tsfile/live/0013_1.m3u8?key=txiptv
CCTV-2,http://112.46.105.20:8009/hls/502/index.m3u8
CCTV-2,http://117.158.166.73:5003/cctv2.m3u8?token=7375646f431ee94a2837323967219992204b4c3f&z=1151
CCTV-2,http://ak6668768.zicp.io:8801/live1002.m3u8
CCTV-3,http://110.52.8.21:808/hls/3/index.m3u8
CCTV-3,http://116.162.6.191/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225611/index.m3u8
CCTV-3,http://36.156.94.111/cucc-livod.ks-cdn.gitv.tv/gitv_live/G_CCTV-3-HQ/G_CCTV-3-HQ.m3u8
